center_code,transfer_type
DC13384,"drop_off,courier,rider"
DC3734,"drop_off,courier,rider"
DC6655,"drop_off,courier,rider"
DC3740,"drop_off,courier,rider"
DC9279,"drop_off,courier,rider"
CC1947,"drop_off,courier,rider"
DC6164,"drop_off,courier,rider"
DC10165,"drop_off,courier,rider"
DC11036,"drop_off,courier,rider"
DC2368,"drop_off,courier,rider"
CC13083,"drop_off,courier,rider"
CC11204,"drop_off,courier,rider"
DC9512,"drop_off,courier,rider"
DC9978,"drop_off,courier,rider"
DC10134,"drop_off,courier,rider"
DC10194,"drop_off,courier,rider"
DC11222,"drop_off,courier,rider"
DC4205,"drop_off,courier,rider"
F902,"drop_off,courier,rider"
DC6376,"drop_off,courier,rider"
DC4524,"drop_off,courier,rider"
DC12936,"drop_off,courier,rider"
DC8282,"drop_off,courier,rider"
DC10429,"drop_off,courier,rider"
CC11722,"drop_off,courier,rider"
CC13085,"drop_off,courier,rider"
CC1428,"drop_off,courier,rider"
DC5744,"drop_off,courier,rider"
DC8485,"drop_off,courier,rider"
DC13163,"drop_off,courier,rider"
DC12546,"drop_off,courier,rider"
CC13470,"drop_off,courier,rider"
DC13623,"drop_off,courier,rider"
DC3825,"drop_off,courier,rider"
DC4234,"drop_off,courier,rider"
CC12825,"drop_off,courier,rider"
DC10042,"drop_off,courier,rider"
DC3709,"drop_off,courier,rider"
CC4137,"drop_off,courier,rider"
CC4148,"drop_off,courier,rider"
CC10652,"drop_off,courier,rider"
CC13407,"drop_off,courier,rider"
CC11661,"drop_off,courier,rider"
DC10160,"drop_off,courier,rider"
DC11618,"drop_off,courier,rider"
DC8514,"drop_off,courier,rider"
DC13325,"drop_off,courier,rider"
DC10234,"drop_off,courier,rider"
CC12912,"drop_off,courier,rider"
DC6467,"drop_off,courier,rider"
CC11140,"drop_off,courier,rider"
DC11797,"drop_off,courier,rider"
CC12199,"drop_off,courier,rider"
CC11449,"drop_off,courier,rider"
DC9880,"drop_off,courier,rider"
DC10374,"drop_off,courier,rider"
CC12776,"drop_off,courier,rider"
DC11707,"drop_off,courier,rider"
CC13127,"drop_off,courier,rider"
DC8324,"drop_off,courier,rider"
DC10880,"drop_off,courier,rider"
DC11976,"drop_off,courier,rider"
DC6798,"drop_off,courier,rider"
DC8281,"drop_off,courier,rider"
DC11844,"drop_off,courier,rider"
DC9997,"drop_off,courier,rider"
DC3103,"drop_off,courier,rider"
DC3605,"drop_off,courier,rider"
CC13389,"drop_off,courier,rider"
DC12723,"drop_off,courier,rider"
DC4916,"drop_off,courier,rider"
DC9161,"drop_off,courier,rider"
CC12267,"drop_off,courier,rider"
CC6609,"drop_off,courier,rider"
DC10389,"drop_off,courier,rider"
DC1461,"drop_off,courier,rider"
CC10509,"drop_off,courier,rider"
DC1999,"drop_off,courier,rider"
DC10874,"drop_off,courier,rider"
DC12713,"drop_off,courier,rider"
CC13404,"drop_off,courier,rider"
DC9998,"drop_off,courier,rider"
DC11144,"drop_off,courier,rider"
DC12455,"drop_off,courier,rider"
F1213,"drop_off,courier,rider"
DC13326,"drop_off,courier,rider"
CC13351,"drop_off,courier,rider"
DC9090,"drop_off,courier,rider"
F959,"drop_off,courier,rider"
GELAB3576,"drop_off,courier,rider"
OLC13627,"drop_off,courier,rider"
DC8327,"drop_off,courier,rider"
DC10430,"drop_off,courier,rider"
DC13198,"drop_off,courier,rider"
DC6656,"drop_off,courier,rider"
DC12965,"drop_off,courier,rider"
DC7314,"drop_off,courier,rider"
DC4565,"drop_off,courier,rider"
DC13228,"drop_off,courier,rider"
CC7191,"drop_off,courier,rider"
DC1738,"drop_off,courier,rider"
CC11972,"drop_off,courier,rider"
OLC7785,"drop_off,courier,rider"
DC3376,"drop_off,courier,rider"
DC6381,"drop_off,courier,rider"
DC10142,"drop_off,courier,rider"
DC10410,"drop_off,courier,rider"
DC10724,"drop_off,courier,rider"
DC11808,"drop_off,courier,rider"
DC10141,"drop_off,courier,rider"
DC12711,"drop_off,courier,rider"
DC6799,"drop_off,courier,rider"
DC10043,"drop_off,courier,rider"
CC13288,"drop_off,courier,rider"
F324,"drop_off,courier,rider"
CC11984,"drop_off,courier,rider"
DC7454,"drop_off,courier,rider"
GELAB8901,"drop_off,courier,rider"
CC10872,"drop_off,courier,rider"
DC3482,"drop_off,courier,rider"
DC12795,"drop_off,courier,rider"
DC13664,"drop_off,courier,rider"
DC6728,"drop_off,courier,rider"
GELAB3556,"drop_off,courier,rider"
DC10196,"drop_off,courier,rider"
DC10433,"drop_off,courier,rider"
DC12945,"drop_off,courier,rider"
DC4485,"drop_off,courier,rider"
